name,sex,age,height,weight,bmi,country,year,season,host country,sport,event,medal
Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,25.11,Finland,2014,Winter,Russia,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,United States,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,United States,Alpine Skiing,Alpine Skiing Men's Combined,Gold
Kjetil Andr Aamodt,M,34.0,176.0,85.0,27.44,Norway,2006,Winter,Italy,Alpine Skiing,Alpine Skiing Men's Super G,Gold
Ragnhild Margrethe Aamodt,F,27.0,163.0,73.77,27.77,Norway,2008,Summer,China,Handball,Handball Women's Handball,Gold
Giovanni Abagnale,M,21.0,198.0,90.0,22.96,Italy,2016,Summer,Brazil,Rowing,Rowing Men's Coxless Pairs,Bronze
Jos Luis Abajo Gmez,M,30.0,194.0,87.0,23.12,Spain,2008,Summer,China,Fencing,"Fencing Men's epee, Individual",Bronze
Patimat Abakarova,F,21.0,165.0,49.0,18.0,Azerbaijan,2016,Summer,Brazil,Taekwondo,Taekwondo Women's Flyweight,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,24.97,Russia,2008,Summer,China,Athletics,Athletics Women's Javelin Throw,Silver
Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,25.62,Belarus,2008,Summer,China,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Luc Abalo,M,23.0,182.0,86.0,25.96,France,2008,Summer,China,Handball,Handball Men's Handball,Gold
Luc Abalo,M,27.0,182.0,86.0,25.96,France,2012,Summer,United Kingdom,Handball,Handball Men's Handball,Gold
Luc Abalo,M,31.0,182.0,86.0,25.96,France,2016,Summer,Brazil,Handball,Handball Men's Handball,Silver
Stephen Anthony Abas,M,26.0,165.0,55.0,20.2,United States of America,2004,Summer,Greece,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Tamila Rashidovna Abasova,F,21.0,163.0,60.0,22.58,Russia,2004,Summer,Greece,Cycling,Cycling Women's Sprint,Silver
Jol Marc Abati,M,38.0,190.0,85.0,23.55,France,2008,Summer,China,Handball,Handball Men's Handball,Gold
"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,25.7,Australia,2008,Summer,China,Hockey,Hockey Men's Hockey,Bronze
Jeremy Abbott,M,28.0,175.0,70.0,22.86,United States of America,2014,Winter,Russia,Figure Skating,Figure Skating Mixed Team,Bronze
Monica Cecilia Abbott,F,23.0,191.0,88.0,24.12,United States of America,2008,Summer,China,Softball,Softball Women's Softball,Silver
Nia Nicole Abdallah,F,20.0,175.0,56.0,18.29,United States of America,2004,Summer,Greece,Taekwondo,Taekwondo Women's Featherweight,Silver
Saeid Morad Abdevali,M,26.0,170.0,80.0,27.68,Iran,2016,Summer,Brazil,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
